HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
Devils,1,23,True,Avalanche,0,24,False
Hurricanes,2,35,False,Islanders,6,32,True
Canucks,5,29,True,Penguins,1,35,False
Coyotes,2,21,False,Jets,3,35,True
Stars,3,33,False,Rangers,6,27,True
Panthers,5,58,True,Senators,3,26,False
Sharks,3,27,False,Lightning,4,26,True
Flyers,3,29,False,Hurricanes,4,38,True
Sabres,4,45,True,Blackhawks,3,26,False
Red Wings,2,25,True,Wild,1,31,False
Blues,4,30,False,Canadiens,7,25,True
Kings,4,29,True,Maple Leafs,2,28,False
Islanders,5,44,True,Avalanche,4,37,False
Predators,0,34,False,Capitals,3,35,True
Flames,2,42,False,Oilers,3,26,True
Kraken,3,30,True,Penguins,1,33,False
Devils,7,53,True,Blue Jackets,1,21,False
Blackhawks,3,26,False,Wild,4,35,True
Coyotes,2,20,False,Rangers,3,39,True
Ducks,4,39,True,Maple Leafs,3,36,False
Golden Knights,2,48,True,Jets,1,24,False
Sabres,8,46,True,Red Wings,3,18,False
Hurricanes,3,35,True,Capitals,2,20,False
Blues,1,28,False,Kings,5,30,True
Lightning,4,34,True,Senators,3,15,False
Rangers,1,36,True,Flyers,0,19,False
Capitals,2,21,False,Golden Knights,3,31,True
Penguins,5,38,False,Bruins,6,40,True
Wild,4,31,True,Canadiens,1,35,False
Blackhawks,1,22,False,Islanders,3,33,True
Stars,5,40,True,Kings,2,32,False
Oilers,7,37,True,Predators,4,23,False
Flames,4,40,False,Kraken,5,26,True
Coyotes,3,21,True,Panthers,1,42,False
Canucks,2,23,False,Devils,5,37,True
Sharks,5,44,False,Ducks,6,44,True
Maple Leafs,5,44,True,Flyers,2,25,False
Sabres,6,33,True,Penguins,3,21,False
Lightning,3,26,False,Hurricanes,4,55,True
Senators,4,46,False,Golden Knights,5,32,True
Red Wings,3,26,True,Capitals,1,34,False
Rangers,2,20,False,Bruins,5,37,True
Jets,3,36,True,Canadiens,2,22,False
Blues,2,34,False,Islanders,5,30,True
Wild,0,22,False,Kraken,4,23,True
Blackhawks,2,19,True,Kings,1,33,False
Flames,1,30,False,Predators,4,32,True
Oilers,3,37,False,Devils,4,43,True
Canucks,8,47,True,Ducks,5,31,False
Coyotes,2,30,False,Stars,7,36,True
Sharks,3,39,False,Panthers,4,44,True
Avalanche,6,36,True,Blue Jackets,3,39,False
Hurricanes,5,33,True,Sabres,3,25,False
Red Wings,3,26,True,Islanders,0,24,False
Blue Jackets,1,32,False,Avalanche,5,45,True
Jets,4,37,True,Blackhawks,0,30,False
Oilers,2,30,False,Stars,6,36,True
Capitals,2,36,False,Coyotes,3,26,True
Maple Leafs,2,28,True,Bruins,1,21,False
Lightning,5,30,True,Sabres,3,24,False
Senators,1,34,False,Flyers,2,28,True
Penguins,2,37,False,Kraken,3,28,True
Canadiens,4,31,False,Golden Knights,6,42,True
Canucks,3,45,False,Predators,4,30,True
Flames,3,30,False,Devils,4,35,True
Sharks,4,52,False,Ducks,5,25,True
Kings,5,39,True,Panthers,4,38,False
Rangers,2,29,False,Red Wings,3,36,True
Hurricanes,1,30,False,Maple Leafs,3,21,True
Ducks,3,35,False,Panthers,5,48,True
Islanders,4,32,True,Flames,3,46,False
Bruins,3,37,True,Blues,1,27,False
Capitals,5,31,True,Oilers,4,29,False
Sabres,1,33,False,Coyotes,4,24,True
Devils,3,20,True,Flames,2,35,False
Rangers,3,40,False,Islanders,4,26,True
Flyers,5,35,True,Blues,1,28,False
Senators,4,41,False,Canucks,6,28,True
Maple Leafs,3,31,False,Golden Knights,4,20,True
Red Wings,2,43,False,Canadiens,3,33,True
Lightning,2,37,False,Oilers,3,29,True
Jets,5,33,True,Stars,1,22,False
Kraken,5,20,True,Predators,1,25,False
Kings,1,30,True,Wild,0,21,False
Panthers,3,37,True,Hurricanes,0,40,False
Capitals,1,25,False,Penguins,4,28,True
Canadiens,5,29,True,Canucks,2,33,False
Ducks,1,32,False,Wild,4,39,True
Bruins,3,28,True,Flames,1,32,False
Hurricanes,7,32,True,Oilers,2,22,False
Devils,4,41,True,Senators,3,28,False
Blue Jackets,5,29,True,Flyers,2,34,False
Sabres,4,35,False,Golden Knights,7,36,True
Red Wings,2,20,False,Rangers,8,33,True
Islanders,0,24,False,Coyotes,2,28,True
Blues,5,33,True,Sharks,3,30,False
Avalanche,5,35,True,Predators,3,35,False
Kings,2,35,True,Blackhawks,1,32,False
Maple Leafs,2,30,False,Penguins,4,23,True
Capitals,5,24,True,Lightning,1,29,False
Stars,4,29,False,Sharks,5,18,True
Kraken,0,28,False,Wild,1,21,True
Flyers,1,38,False,Senators,4,27,True
Panthers,2,42,False,Oilers,4,32,True
Devils,4,26,True,Coyotes,2,18,False
Sabres,1,31,False,Bruins,3,30,True
Canadiens,5,42,True,Penguins,4,24,False
Maple Leafs,3,34,True,Canucks,2,29,False
Islanders,4,46,True,Blue Jackets,3,29,False
Predators,2,18,True,Rangers,1,35,False
Avalanche,4,28,True,Hurricanes,1,25,False
Ducks,2,41,False,Blackhawks,3,22,True
Golden Knights,2,36,False,Blues,3,28,True
Flames,3,35,True,Jets,2,23,False
Kings,4,21,True,Red Wings,3,21,False
Flyers,1,38,False,Stars,5,31,True
Wild,2,30,False,Sharks,3,37,True
