HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
Flyers,6,27,True,Penguins,3,34,False
Maple Leafs,5,34,True,Canadiens,4,32,False
Lightning,5,33,True,Blackhawks,1,23,False
Oilers,3,31,False,Canucks,5,35,True
Avalanche,1,27,False,Blues,4,32,True
Sabres,4,26,False,Capitals,6,28,True
Devils,2,22,False,Bruins,3,37,True
Rangers,0,24,False,Islanders,4,33,True
Red Wings,0,14,False,Hurricanes,3,43,True
Predators,3,35,True,Blue Jackets,1,30,False
Jets,4,34,True,Flames,3,26,False
Oilers,5,46,True,Canucks,2,40,False
Coyotes,3,37,False,Sharks,4,35,True
Golden Knights,5,29,True,Ducks,2,22,False
Kings,3,34,False,Wild,4,27,True
Sabres,1,31,False,Capitals,2,21,True
Flyers,5,20,True,Penguins,2,33,False
Lightning,5,37,True,Blackhawks,2,37,False
Senators,5,24,True,Maple Leafs,3,23,False
Avalanche,8,38,True,Blues,0,21,False
Devils,2,31,True,Bruins,1,28,False
Coyotes,5,26,True,Sharks,3,34,False
Rangers,5,32,True,Islanders,0,23,False
Red Wings,4,21,True,Hurricanes,2,31,False
Senators,2,19,False,Maple Leafs,3,40,True
Oilers,1,35,False,Canadiens,5,36,True
Predators,5,33,True,Blue Jackets,2,44,False
Kings,3,33,False,Wild,4,44,True
Flames,3,35,True,Canucks,0,32,False
Golden Knights,2,33,True,Ducks,1,22,False
Penguins,4,27,True,Capitals,3,23,False
Panthers,5,36,True,Blackhawks,2,30,False
Red Wings,2,37,False,Blue Jackets,3,29,True
Islanders,1,17,True,Bruins,0,27,False
Maple Leafs,3,38,True,Jets,1,28,False
Flyers,1,22,False,Sabres,6,37,True
Blues,5,33,True,Sharks,4,26,False
Predators,2,33,False,Hurricanes,4,24,True
Flames,5,32,True,Canucks,2,27,False
Oilers,1,26,False,Canadiens,3,34,True
Ducks,1,27,True,Wild,0,34,False
Golden Knights,4,28,True,Coyotes,2,32,False
Rangers,3,50,False,Devils,4,28,True
Flyers,3,30,True,Sabres,0,40,False
Panthers,5,30,True,Blackhawks,4,36,False
Penguins,5,30,True,Capitals,4,26,False
Senators,3,41,False,Jets,4,28,True
Red Wings,3,27,True,Blue Jackets,2,24,False
Kings,2,25,False,Avalanche,3,24,True
Maple Leafs,1,26,False,Oilers,3,22,True
Blues,1,23,False,Sharks,2,38,True
Ducks,2,24,False,Wild,3,32,True
Canucks,6,28,True,Canadiens,5,36,False
Golden Knights,5,29,True,Coyotes,2,23,False
Bruins,5,43,True,Flyers,4,26,False
Islanders,4,35,True,Devils,1,31,False
Blue Jackets,2,25,False,Lightning,3,37,True
Senators,1,29,False,Jets,4,29,True
Canucks,3,17,False,Canadiens,7,42,True
Kings,4,27,True,Avalanche,2,26,False
Capitals,4,32,True,Sabres,3,27,False
Penguins,4,28,True,Rangers,3,34,False
Maple Leafs,4,29,True,Oilers,2,32,False
Blackhawks,4,28,True,Red Wings,1,31,False
Wild,4,29,True,Sharks,1,29,False
Stars,7,28,True,Predators,0,34,False
Coyotes,5,26,True,Golden Knights,2,31,False
Ducks,2,38,False,Avalanche,3,32,True
Blue Jackets,5,28,True,Lightning,2,32,False
Bruins,6,26,True,Flyers,1,17,False
Canucks,2,25,False,Canadiens,5,33,True
Blues,4,30,True,Kings,2,23,False
Jets,6,38,True,Senators,3,21,False
Blackhawks,6,35,True,Red Wings,2,27,False
Capitals,3,31,False,Sabres,4,48,True
Flames,2,33,False,Maple Leafs,3,32,True
Coyotes,0,16,False,Golden Knights,1,27,True
Devils,2,24,True,Islanders,0,28,False
Penguins,3,19,True,Rangers,2,26,False
Blues,3,31,False,Kings,6,35,True
Wild,3,29,False,Sharks,5,36,True
Stars,3,22,True,Predators,2,17,False
Ducks,3,15,True,Avalanche,1,33,False
Jets,3,38,False,Oilers,4,38,True
Canucks,7,35,True,Senators,1,36,False
Bruins,3,36,True,Penguins,2,30,False
Sabres,3,24,True,Rangers,2,30,False
Devils,3,26,False,Flyers,5,31,True
Capitals,3,37,True,Islanders,2,34,False
Blue Jackets,3,22,False,Panthers,4,31,True
Predators,3,39,True,Blackhawks,2,20,False
Jets,6,33,True,Oilers,4,26,False
Wild,1,33,False,Kings,2,21,True
Stars,2,22,True,Red Wings,1,21,False
Flames,3,26,False,Maple Leafs,4,21,True
Avalanche,7,42,True,Sharks,3,30,False
Coyotes,0,31,False,Ducks,1,24,True
Golden Knights,4,46,False,Blues,5,25,True
Predators,2,42,True,Blackhawks,1,30,False
Canucks,5,35,True,Senators,1,43,False
Bruins,4,20,True,Penguins,1,17,False
Sabres,2,25,False,Rangers,3,39,True
Devils,1,34,False,Flyers,3,17,True
Capitals,6,23,True,Islanders,3,30,False
Hurricanes,1,35,True,Lightning,0,32,False
Blue Jackets,3,31,True,Panthers,2,35,False
Canadiens,4,21,True,Flames,2,25,False
Wild,5,28,True,Kings,3,35,False
Stars,7,29,True,Red Wings,3,23,False
Avalanche,3,38,True,Sharks,0,21,False
Coyotes,3,34,True,Ducks,2,16,False
Oilers,3,29,False,Maple Leafs,4,27,True
Canucks,4,25,True,Senators,1,37,False
Blackhawks,1,32,False,Blue Jackets,2,27,True
Sabres,4,31,True,Devils,3,34,False
Rangers,4,34,False,Penguins,5,38,True
Flyers,3,17,True,Islanders,2,28,False
Capitals,4,23,True,Bruins,3,43,False
Hurricanes,4,26,True,Stars,1,11,False
Lightning,4,33,True,Predators,3,26,False
Red Wings,2,27,False,Panthers,3,26,True
Canadiens,0,37,False,Flames,2,33,True
Oilers,4,31,True,Maple Leafs,3,29,False
Wild,1,20,False,Avalanche,5,33,True
Ducks,1,24,False,Blues,6,30,True
Jets,1,24,False,Canucks,4,39,True
Sabres,3,33,False,Devils,5,37,True
Hurricanes,4,40,True,Stars,3,29,False
Red Wings,2,34,False,Panthers,3,30,True
Flyers,4,29,True,Islanders,3,36,False
Blackhawks,3,36,True,Blue Jackets,1,33,False
Wild,4,33,True,Avalanche,3,25,False
Ducks,1,26,False,Blues,4,23,True
Oilers,8,31,True,Senators,5,38,False
Rangers,3,24,True,Penguins,1,26,False
Capitals,3,26,False,Bruins,5,33,True
Lightning,5,28,True,Predators,2,31,False
Canadiens,6,40,True,Canucks,2,29,False
Jets,3,28,False,Flames,4,28,True
Blue Jackets,3,26,False,Stars,6,33,True
Canadiens,5,33,True,Canucks,3,39,False
Blackhawks,3,33,False,Hurricanes,4,41,True
Blues,4,29,True,Coyotes,3,35,False
Jets,3,28,True,Flames,2,31,False
Avalanche,2,31,True,Wild,1,28,False
Oilers,4,25,True,Senators,2,25,False
Kings,1,21,False,Ducks,3,43,True
Lightning,5,27,True,Red Wings,1,16,False
Flyers,3,25,False,Bruins,4,35,True
Rangers,4,31,True,Capitals,2,33,False
Panthers,5,36,False,Predators,6,41,True
Blue Jackets,4,25,True,Stars,3,28,False
Canadiens,2,38,False,Senators,3,22,True
Maple Leafs,7,37,True,Canucks,3,19,False
Blackhawks,6,35,True,Hurricanes,4,34,False
Blues,3,43,False,Coyotes,4,30,True
Jets,4,27,True,Flames,1,24,False
Flyers,1,24,False,Bruins,2,23,True
