HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
Jets,2,37,False,Maple Leafs,7,31,True
Penguins,4,33,False,Blues,5,34,True
Oilers,3,45,True,Flames,0,27,False
Sharks,3,35,False,Flyers,5,31,True
Bruins,4,32,True,Predators,3,29,False
Sabres,2,45,False,Canadiens,3,40,True
Rangers,2,39,False,Avalanche,4,26,True
Senators,4,32,False,Capitals,5,28,True
Red Wings,4,31,True,Wild,2,39,False
Blackhawks,10,44,True,Penguins,1,29,False
Ducks,5,41,True,Coyotes,4,30,False
Kings,2,27,True,Flyers,0,35,False
Blue Jackets,5,37,True,Islanders,0,29,False
Lightning,5,25,True,Panthers,3,36,False
Stars,1,46,False,Golden Knights,2,30,True
Devils,4,39,True,Avalanche,1,41,False
Maple Leafs,8,41,True,Rangers,5,35,False
Senators,1,38,False,Red Wings,2,30,True
Panthers,5,48,True,Lightning,4,30,False
Islanders,6,33,True,Sabres,3,29,False
Penguins,4,34,True,Predators,0,26,False
Capitals,6,23,True,Canadiens,1,39,False
Hurricanes,5,42,True,Wild,4,27,False
Blues,4,21,True,Stars,2,40,False
Blackhawks,5,29,True,Blue Jackets,1,33,False
Coyotes,1,28,False,Golden Knights,2,42,True
Flames,6,45,True,Jets,3,28,False
Canucks,3,26,True,Oilers,2,35,False
Ducks,2,23,False,Flyers,3,37,True
Sharks,1,25,False,Kings,4,38,True
Rangers,2,25,True,Canadiens,0,34,False
Bruins,0,29,False,Avalanche,4,23,True
Islanders,2,42,False,Blues,3,35,True
Sabres,2,25,False,Devils,6,31,True
Maple Leafs,4,43,True,Blackhawks,3,21,False
Lightning,4,40,True,Capitals,3,26,False
Oilers,2,39,False,Jets,5,43,True
Ducks,0,43,False,Flames,2,29,True
Rangers,1,33,False,Blues,3,23,True
Hurricanes,1,38,False,Blue Jackets,2,27,True
Canadiens,1,42,False,Blackhawks,3,25,True
Predators,6,31,True,Flyers,5,30,False
Stars,4,33,True,Red Wings,2,25,False
Canucks,2,28,False,Senators,3,42,True
Golden Knights,5,28,True,Coyotes,2,33,False
Maple Leafs,3,50,False,Devils,6,31,True
Capitals,2,22,False,Penguins,3,36,True
Avalanche,6,37,True,Bruins,3,23,False
Ducks,3,30,True,Islanders,2,41,False
Kings,3,45,False,Flames,4,37,True
Lightning,5,34,True,Penguins,4,40,False
Panthers,5,38,True,Blues,2,39,False
Predators,4,31,True,Stars,1,31,False
Blackhawks,2,38,False,Wild,5,34,True
Canucks,2,32,False,Jets,4,20,True
Coyotes,2,35,False,Red Wings,4,33,True
Sharks,3,26,True,Sabres,2,25,False
Devils,2,23,False,Capitals,5,28,True
Blue Jackets,3,43,True,Rangers,1,38,False
Avalanche,3,39,True,Ducks,1,18,False
Flames,0,25,False,Senators,6,28,True
Golden Knights,3,27,False,Red Wings,6,27,True
Canadiens,3,34,False,Maple Leafs,4,22,True
Lightning,2,27,True,Blues,1,29,False
Rangers,2,31,False,Devils,3,19,True
Flyers,8,37,True,Capitals,2,23,False
Penguins,4,33,True,Panthers,3,46,False
Jets,2,21,True,Hurricanes,1,29,False
Stars,3,36,True,Avalanche,1,23,False
Wild,4,21,False,Blue Jackets,5,35,True
Blackhawks,2,35,True,Predators,1,38,False
Coyotes,2,31,False,Bruins,6,29,True
Oilers,1,36,False,Senators,6,31,True
Canucks,2,29,False,Flames,5,27,True
Kings,4,30,True,Sabres,2,25,False
Sharks,1,41,False,Islanders,3,23,True
Golden Knights,3,26,True,Bruins,1,22,False
Ducks,1,26,False,Sabres,3,31,True
Kings,3,27,True,Islanders,2,25,False
Red Wings,2,31,False,Lightning,3,26,True
Rangers,4,32,False,Penguins,5,33,True
Flyers,5,38,True,Panthers,1,41,False
Capitals,0,30,False,Maple Leafs,2,30,True
Devils,5,34,True,Lightning,4,37,False
Senators,0,32,False,Canucks,3,24,True
Predators,4,34,True,Avalanche,1,21,False
Jets,2,26,False,Blue Jackets,5,39,True
Stars,3,34,True,Coyotes,1,28,False
Oilers,3,51,False,Hurricanes,5,21,True
Golden Knights,5,31,True,Sabres,4,34,False
Sharks,5,35,True,Canadiens,2,30,False
Maple Leafs,6,26,True,Red Wings,3,33,False
