HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
Lightning,2,28,False,Penguins,6,35,True
Golden Knights,4,30,True,Kraken,3,31,False
Maple Leafs,2,30,True,Canadiens,1,32,False
Capitals,5,27,True,Rangers,1,24,False
Avalanche,4,36,True,Blackhawks,2,34,False
Oilers,3,34,True,Canucks,2,38,False
Ducks,4,22,True,Jets,1,34,False
Sabres,5,36,True,Canadiens,1,31,False
Senators,3,36,True,Maple Leafs,2,48,False
Panthers,5,39,True,Penguins,4,47,False
Rangers,2,33,False,Stars,3,26,True
Hurricanes,6,41,True,Islanders,3,28,False
Blue Jackets,8,26,True,Coyotes,2,38,False
Red Wings,6,26,False,Lightning,7,48,True
Predators,3,30,False,Kraken,4,26,True
Kings,6,47,True,Golden Knights,2,25,False
Devils,4,29,True,Blackhawks,3,27,False
Flyers,4,35,False,Canucks,5,39,True
Ducks,1,29,False,Wild,2,43,True
Sabres,2,33,True,Coyotes,1,21,False
Panthers,5,29,True,Islanders,1,30,False
Bruins,3,40,True,Stars,1,28,False
Maple Leafs,3,29,True,Senators,1,21,False
Canadiens,1,32,False,Rangers,3,24,True
Red Wings,3,21,True,Canucks,1,41,False
Penguins,5,26,True,Blackhawks,2,20,False
Capitals,1,33,False,Lightning,2,24,True
Blue Jackets,2,25,True,Kraken,1,20,False
Predators,2,40,False,Hurricanes,3,32,True
Avalanche,3,32,False,Blues,5,28,True
Oilers,5,33,True,Flames,2,47,False
Sharks,4,31,True,Jets,3,23,False
Kings,2,31,False,Wild,3,30,True
Senators,3,27,True,Stars,2,34,False
Maple Leafs,1,41,False,Rangers,2,23,True
Flyers,6,27,True,Kraken,1,24,False
Flames,2,43,False,Ducks,3,27,True
Coyotes,4,26,False,Blues,7,33,True
Sabres,5,43,True,Canucks,2,34,False
Canadiens,0,21,False,Sharks,5,25,True
Lightning,1,31,False,Panthers,4,32,True
Devils,4,33,True,Kraken,2,29,False
Penguins,1,28,False,Stars,2,29,True
Capitals,6,40,True,Avalanche,3,27,False
Red Wings,4,45,True,Blue Jackets,1,23,False
Blackhawks,1,40,False,Islanders,4,29,True
Predators,2,31,True,Kings,1,26,False
Wild,6,44,True,Jets,5,30,False
Oilers,6,37,True,Ducks,5,36,False
Flyers,6,25,True,Bruins,3,40,False
Golden Knights,1,43,False,Blues,3,38,True
Canadiens,1,28,False,Hurricanes,4,33,True
Senators,1,31,False,Sharks,2,24,True
Panthers,4,38,True,Avalanche,1,31,False
Devils,1,26,False,Capitals,4,27,True
Blue Jackets,3,32,True,Islanders,2,36,False
Red Wings,0,33,False,Flames,3,29,True
Predators,1,29,False,Rangers,3,30,True
Jets,5,27,True,Ducks,1,39,False
Blackhawks,1,30,False,Canucks,4,25,True
Coyotes,1,28,False,Oilers,5,31,True
Maple Leafs,3,33,False,Sharks,5,31,True
Sabres,1,36,False,Bruins,4,26,True
Stars,3,23,True,Kings,2,45,False
Golden Knights,3,39,False,Oilers,5,33,True
Senators,2,28,False,Rangers,3,26,True
Capitals,3,25,False,Flames,4,27,True
Wild,4,36,True,Ducks,3,24,False
Canadiens,6,24,True,Red Wings,1,27,False
Lightning,3,32,False,Avalanche,4,27,True
Devils,2,39,True,Sabres,1,25,False
Flyers,2,29,False,Panthers,4,31,True
Penguins,7,33,True,Maple Leafs,1,29,False
Blue Jackets,1,28,False,Hurricanes,5,33,True
Jets,6,29,True,Predators,4,30,False
