HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
Maple Leafs,5,42,True,Senators,3,26,False
Blues,2,22,False,Capitals,3,34,True
Oilers,3,22,True,Canucks,2,33,False
Golden Knights,4,35,True,Sharks,1,22,False
Lightning,5,30,True,Panthers,2,37,False
Rangers,6,32,True,Jets,4,47,False
Penguins,1,29,False,Sabres,3,41,True
Hurricanes,4,43,True,Canadiens,3,36,False
Predators,5,32,True,Wild,2,24,False
Stars,1,29,False,Bruins,2,20,True
Avalanche,5,32,True,Flames,3,30,False
Ducks,2,29,True,Coyotes,1,33,False
Flyers,4,38,True,Blackhawks,3,31,False
Devils,4,39,False,Jets,5,30,True
Islanders,1,26,False,Capitals,2,28,True
Blue Jackets,1,29,False,Maple Leafs,4,29,True
Sharks,1,35,False,Golden Knights,5,29,True
Sabres,7,36,True,Devils,2,20,False
Maple Leafs,5,37,False,Canadiens,6,42,True
Senators,1,32,False,Rangers,4,30,True
Panthers,4,28,True,Lightning,3,35,False
Penguins,7,40,True,Blue Jackets,2,30,False
Capitals,2,34,False,Hurricanes,3,28,True
Blues,3,30,True,Stars,2,29,False
Predators,3,42,False,Red Wings,5,28,True
Avalanche,4,32,True,Wild,2,31,False
Coyotes,0,35,False,Bruins,1,26,True
Flames,3,30,True,Canucks,0,34,False
Oilers,6,31,True,Kings,5,32,False
Ducks,3,33,True,Sharks,1,36,False
Hurricanes,4,44,True,Lightning,3,13,False
Red Wings,4,33,True,Stars,3,22,False
Islanders,4,33,True,Jets,1,36,False
Maple Leafs,2,34,False,Blues,3,30,True
Blue Jackets,4,44,True,Sabres,3,18,False
Panthers,3,50,False,Hurricanes,6,35,True
Islanders,2,27,False,Oilers,5,27,True
Penguins,1,38,False,Jets,4,22,True
Capitals,3,32,False,Stars,4,26,True
Red Wings,1,32,False,Ducks,3,29,True
Predators,5,25,True,Sharks,2,35,False
Flames,3,29,False,Kings,4,40,True
Golden Knights,3,34,False,Bruins,4,35,True
Sabres,5,39,True,Canadiens,4,27,False
Flyers,4,34,True,Devils,0,25,False
Canucks,8,25,True,Kings,2,39,False
Maple Leafs,3,28,False,Lightning,7,33,True
Canadiens,2,35,False,Red Wings,4,34,True
Devils,3,31,False,Oilers,4,22,True
Penguins,2,28,True,Ducks,1,32,False
Senators,4,29,False,Blues,6,37,True
Predators,6,38,True,Capitals,5,26,False
Jets,5,32,True,Wild,2,40,False
Blackhawks,4,30,False,Sharks,5,34,True
Stars,2,36,False,Flames,3,29,True
Avalanche,4,36,True,Bruins,2,41,False
Coyotes,4,29,True,Golden Knights,1,38,False
Sabres,3,32,True,Panthers,2,43,False
Blue Jackets,1,27,False,Ducks,2,23,True
Hurricanes,5,40,True,Islanders,2,19,False
Rangers,1,21,False,Oilers,4,27,True
Senators,4,34,True,Lightning,2,21,False
Kings,7,38,True,Predators,4,32,False
Bruins,3,32,True,Devils,0,31,False
Canadiens,6,38,True,Blues,3,29,False
Red Wings,2,27,False,Maple Leafs,5,41,True
Islanders,3,28,True,Panthers,2,37,False
Hurricanes,2,32,False,Blue Jackets,3,35,True
Blackhawks,2,29,False,Jets,3,33,True
Stars,1,25,False,Capitals,4,25,True
Wild,4,33,False,Penguins,7,35,True
Avalanche,3,32,True,Coyotes,2,36,False
Canucks,3,24,True,Flyers,2,32,False
Golden Knights,6,30,True,Flames,2,35,False
Jets,2,29,False,Penguins,7,28,True
Kings,2,38,False,Golden Knights,5,36,True
Sharks,3,20,True,Flames,1,33,False
Bruins,4,23,True,Ducks,2,32,False
Senators,0,26,False,Wild,2,35,True
Devils,4,21,False,Panthers,6,34,True
Islanders,3,32,True,Blues,2,23,False
Sabres,4,22,True,Stars,0,25,False
Capitals,3,32,False,Avalanche,6,25,True
Blackhawks,3,35,True,Oilers,1,28,False
Maple Leafs,4,34,True,Wild,2,29,False
Canadiens,1,34,False,Lightning,3,22,True
Jets,2,40,False,Coyotes,4,35,True
Flames,3,38,True,Flyers,1,22,False
Canucks,5,32,True,Red Wings,1,27,False
Golden Knights,2,35,False,Predators,5,39,True
Kings,0,31,False,Hurricanes,2,23,True
Penguins,3,32,True,Avalanche,2,28,False
Capitals,4,32,True,Maple Leafs,3,32,False
