HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
Lightning,5,34,True,Predators,3,31,False
Penguins,2,41,False,Blackhawks,4,36,True
Golden Knights,4,28,True,Kraken,1,33,False
Hurricanes,5,42,True,Senators,3,30,False
Maple Leafs,6,42,True,Canadiens,5,24,False
Bruins,3,33,True,Blackhawks,1,21,False
Flames,5,22,True,Jets,3,37,False
Kings,2,36,False,Avalanche,5,37,True
Canucks,8,32,True,Oilers,1,27,False
Sabres,1,25,False,Rangers,5,31,True
Blue Jackets,2,33,False,Flyers,4,37,True
Devils,4,27,True,Red Wings,3,35,False
Stars,2,34,True,Blues,1,24,False
Wild,2,21,True,Panthers,0,41,False
Predators,3,35,True,Kraken,0,23,False
Sharks,1,23,False,Golden Knights,4,32,True
Devils,3,36,False,Coyotes,4,33,True
Capitals,0,19,False,Penguins,4,35,True
Senators,5,31,True,Flyers,2,21,False
Jets,6,35,True,Panthers,4,33,False
Bruins,3,30,True,Predators,2,36,False
Blue Jackets,5,21,True,Rangers,3,42,False
Red Wings,6,42,True,Lightning,4,25,False
Canadiens,3,36,True,Blackhawks,2,30,False
Penguins,5,29,True,Flames,2,36,False
Maple Leafs,7,33,True,Wild,4,32,False
Islanders,3,29,True,Sabres,2,28,False
Blues,2,25,True,Kraken,1,31,False
Oilers,3,40,False,Canucks,4,16,True
Sharks,1,21,False,Avalanche,2,52,True
Golden Knights,4,38,True,Ducks,1,23,False
Kings,5,30,False,Hurricanes,6,19,True
Senators,5,38,True,Lightning,2,24,False
Ducks,6,25,True,Hurricanes,3,35,False
Blue Jackets,0,23,False,Red Wings,4,28,True
Devils,3,34,False,Panthers,4,30,True
Rangers,2,28,True,Coyotes,1,27,False
Maple Leafs,1,36,False,Blackhawks,4,31,True
Capitals,3,23,True,Flames,2,40,False
Flyers,2,42,True,Canucks,0,26,False
Canadiens,2,28,False,Wild,5,35,True
Sabres,3,31,True,Lightning,2,25,False
Islanders,1,34,True,Coyotes,0,14,False
Predators,1,44,False,Oilers,6,30,True
Jets,1,27,False,Kings,5,29,True
Kraken,1,38,False,Avalanche,4,28,True
Sharks,3,16,False,Hurricanes,6,42,True
Golden Knights,3,34,True,Stars,2,26,False
Senators,6,29,True,Capitals,1,24,False
Red Wings,6,29,True,Penguins,3,33,False
Sabres,3,27,False,Flames,4,36,True
Panthers,3,24,True,Maple Leafs,1,30,False
Rangers,1,24,False,Predators,4,27,True
Lightning,4,36,True,Canucks,3,29,False
Flyers,4,32,True,Oilers,1,23,False
Wild,3,32,False,Kings,7,27,True
Blues,2,26,False,Coyotes,6,42,True
Jets,3,39,False,Golden Knights,5,27,True
Ducks,2,29,False,Stars,3,24,True
Kraken,7,36,True,Hurricanes,4,36,False
Avalanche,4,41,True,Blackhawks,0,18,False
Sharks,1,27,False,Bruins,3,36,True
Blue Jackets,3,29,True,Flames,1,37,False
Islanders,4,32,False,Devils,5,39,True
Senators,2,37,False,Red Wings,5,23,True
Coyotes,2,27,True,Ducks,1,33,False
Sabres,3,42,True,Islanders,1,25,False
Panthers,3,36,False,Canucks,5,31,True
Canadiens,3,28,True,Capitals,2,33,False
Lightning,3,31,False,Maple Leafs,4,52,True
Blackhawks,3,24,False,Golden Knights,5,24,True
Stars,5,25,True,Flyers,4,40,False
Wild,4,28,False,Blue Jackets,5,54,True
Predators,5,34,True,Sharks,1,32,False
Blues,4,21,True,Penguins,2,33,False
Avalanche,6,27,True,Hurricanes,4,27,False
Oilers,2,40,False,Jets,3,27,True
Kraken,1,19,False,Rangers,4,27,True
Kings,2,34,False,Bruins,4,25,True
Red Wings,6,30,True,Flames,2,31,False
Ducks,1,31,False,Bruins,3,26,True
Sabres,1,37,False,Canadiens,3,27,True
Capitals,1,38,False,Maple Leafs,4,17,True
Senators,4,38,False,Sabres,6,24,True
Lightning,3,23,True,Hurricanes,0,32,False
Canadiens,2,29,False,Devils,5,34,True
Penguins,1,39,False,Stars,4,34,True
Panthers,3,36,True,Sharks,1,28,False
Islanders,4,32,False,Avalanche,7,38,True
Red Wings,4,27,False,Kraken,5,38,True
Blue Jackets,2,37,False,Ducks,3,27,True
Blackhawks,0,23,False,Bruins,3,43,True
Jets,4,30,True,Blues,2,20,False
Wild,7,32,True,Oilers,4,28,False
Predators,2,18,False,Canucks,3,24,True
Flames,1,26,False,Rangers,3,20,True
Kings,6,28,True,Coyotes,3,27,False
Golden Knights,3,29,True,Flyers,2,28,False
Devils,4,22,False,Capitals,6,25,True
Bruins,3,30,False,Ducks,4,32,True
Hurricanes,3,45,True,Kraken,2,26,False
Red Wings,1,36,False,Jets,4,29,True
Canadiens,4,29,True,Blue Jackets,3,36,False
Penguins,4,29,True,Avalanche,0,31,False
Lightning,6,31,True,Sharks,0,23,False
Flyers,6,35,True,Wild,2,28,False
Islanders,3,38,True,Senators,2,47,False
Stars,1,32,False,Maple Leafs,4,24,True
Flames,0,27,False,Blues,3,35,True
Oilers,0,29,False,Rangers,3,32,True
Golden Knights,3,21,False,Blackhawks,4,24,True
Hurricanes,3,40,True,Sharks,0,20,False
Devils,5,39,True,Sabres,4,27,False
Capitals,3,33,True,Wild,2,41,False
Coyotes,4,24,False,Kings,5,41,True
Canucks,5,35,True,Blues,0,22,False
Flyers,4,30,False,Ducks,7,25,True
Panthers,3,37,True,Kraken,2,33,False
Bruins,4,31,True,Red Wings,1,24,False
Blue Jackets,0,34,False,Islanders,2,34,True
Canadiens,4,29,True,Jets,3,45,False
Predators,3,24,True,Maple Leafs,2,35,False
Penguins,2,43,False,Senators,5,26,True
Canucks,3,33,False,Rangers,4,24,True
Kings,3,40,False,Golden Knights,4,30,True
Sabres,4,29,True,Avalanche,0,23,False
Devils,4,30,True,Wild,3,34,False
Capitals,3,42,True,Sharks,1,31,False
Oilers,5,33,True,Flames,2,26,False
Bruins,3,26,True,Panthers,2,37,False
Flyers,2,28,False,Hurricanes,3,32,True
Penguins,3,42,False,Ducks,4,27,True
Lightning,3,37,False,Kraken,4,43,True
Islanders,3,40,False,Red Wings,4,36,True
Jets,2,29,False,Rangers,3,26,True
Stars,5,33,True,Blue Jackets,3,25,False
Coyotes,8,33,True,Blackhawks,1,30,False
Golden Knights,3,25,True,Canadiens,2,39,False
Maple Leafs,1,30,False,Kings,4,27,True
Canucks,5,27,True,Predators,2,29,False
