HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
Sabres,0,32,False,Bruins,4,26,True
Penguins,7,41,True,Capitals,6,36,False
Hurricanes,1,46,False,Islanders,2,20,True
Rangers,2,36,False,Predators,3,33,True
Senators,3,25,False,Blackhawks,4,43,True
Red Wings,2,20,False,Blue Jackets,3,39,True
Blues,1,42,False,Jets,5,25,True
Stars,3,25,True,Coyotes,0,30,False
Avalanche,4,40,True,Wild,1,21,False
Golden Knights,2,25,False,Flyers,5,25,True
Blue Jackets,1,32,False,Hurricanes,3,35,True
Kings,2,21,False,Sharks,3,33,True
Devils,5,27,True,Oilers,2,19,False
Sabres,3,29,True,Rangers,1,44,False
Maple Leafs,3,37,False,Senators,5,24,True
Lightning,2,29,True,Panthers,1,43,False
Islanders,3,29,False,Predators,4,23,True
Penguins,1,22,False,Canadiens,5,29,True
Stars,5,35,True,Jets,1,33,False
Blues,4,30,False,Blackhawks,5,30,True
Wild,1,30,False,Golden Knights,2,42,True
Avalanche,5,35,True,Flyers,2,37,False
Coyotes,0,41,False,Ducks,1,20,True
Flames,7,37,True,Canucks,4,20,False
Hurricanes,8,40,True,Rangers,5,24,False
Blackhawks,6,31,False,Maple Leafs,7,34,True
Kings,4,25,True,Red Wings,2,38,False
Bruins,6,30,True,Senators,3,31,False
Islanders,4,30,True,Sharks,0,35,False
Sabres,4,17,True,Golden Knights,2,37,False
Ducks,3,27,True,Red Wings,2,21,False
Flyers,2,33,False,Sharks,8,48,True
Hurricanes,5,33,True,Canucks,3,25,False
Blue Jackets,5,35,True,Avalanche,2,27,False
Predators,0,43,False,Flames,3,27,True
Jets,2,39,True,Kings,1,17,False
Stars,4,34,False,Maple Leafs,7,30,True
Senators,4,35,False,Flyers,7,45,True
Capitals,5,29,True,Golden Knights,2,31,False
Ducks,2,25,False,Coyotes,3,39,True
Bruins,4,32,True,Oilers,1,26,False
Sabres,1,31,False,Avalanche,6,30,True
Panthers,4,41,False,Blue Jackets,5,32,True
Devils,6,36,True,Capitals,0,21,False
Rangers,3,27,True,Sharks,2,43,False
Penguins,4,22,True,Golden Knights,2,37,False
Canadiens,0,40,False,Kings,3,29,True
Red Wings,3,29,False,Maple Leafs,5,35,True
Lightning,1,34,False,Canucks,4,28,True
Blues,5,32,True,Flames,3,34,False
